,title,description,price,points,lda_label,0
26127,Clos Pons 2010 Roc Nu Red (Costers del Segre),"This blend of Garnacha, Cabernet Sauvignon and Tempranillo opens with leathery, earthy aromas that suggest coffee grinds, black olive and stalky berry fruits. In the mouth, it comes through with a dense, layered feel and spicy flavors of baked berry fruits and black cherry. Overall this is a ripe, chewy, spicy wine with some rusticity. Drink through 2022.",30.0,91,0,0.9727754803836949
110057,Can Blau 2010 Mas de Can Blau Red (Montsant),"Oaky, inky, modern and full of power, this Montsant blend of Carignan, Syrah and Garnacha is toasty and dark as night on the bouquet. The palate feels ripe and intense, with creamy oak and controlled tannins. Flavors of baked black fruits, cocoa and vanilla finish soft and supple, with just enough tannic grip and acidity to maintain focus. Drink from 2014–2020.",45.0,92,0,0.9726839373360925
51395,Andeluna 2008 Pasionado Cabernet Franc (Tupungato),"Tomato, red bell pepper, plum and currant aromas have a slightly sharp, varietal-related minty, green angle. This feels round and creamy on the tongue, with good acidity propping up flavors of baked berries, spice, chocolate, raw oak and vanilla. A medium-length finish with baking spice flavors confirms the wine's power.",60.0,88,0,0.972674187361788
81571,Andeluna 2008 Pasionado Cabernet Franc (Tupungato),"Tomato, red bell pepper, plum and currant aromas have a slightly sharp, varietal-related minty, green angle. This feels round and creamy on the tongue, with good acidity propping up flavors of baked berries, spice, chocolate, raw oak and vanilla. A medium-length finish with baking spice flavors confirms the wine's power.",60.0,88,0,0.972674187361788
62146,Caliterra 2012 Cenit Red (Colchagua Valley),"Tight, minerally aromas of charred oak, vanilla, toast, black cherry and cassis carry an herbal note. A fresh, juicy, layered palate shows controlled rawness, with classic Chilean flavors of spice, green herbs, mint and mixed black fruits. A peppery, blackened finish with toasty, herbal blackberry flavors suggests this is built to last. Drink through 2023.",80.0,92,0,0.9725270950724157
61941,Clunia 2010 Syrah (Vino de la Tierra de Castilla y León),"This dark, ripe and modern Syrah features wild berry, leather and cheesy smelling oak on the bouquet. It's plump and grabby, with plenty of oak and raw tannin to support black-fruit, vanilla and spice flavors. Oak dominates the finish, which has good density, weight and length.",29.0,89,0,0.9719569933516584
46231,Polkura 2013 Block G + I Syrah (Marchigue),"Ripe berry and cassis aromas are supported by sweet oak scents and related notes of graphite, vanilla and maple. This high-end Syrah is flush, full bodied and widespread. Flavors of oak, vanilla and mocha are up to the wine's rich blackberry and cassis fruit, while a plump wide finish with smooth tannins includes doses of mocha and coffee. Drink through 2023.",40.0,93,0,0.9719478292720632
45664,Bodegas Muriel 2013 Conde de los Andes  (Rioja),"Appealing modern-leaning aromas of root beer, berry fruits and vanilla settle with airing and turn more mellow and traditional for Rioja. Slightly plush on the palate, especially given 2013's cool nature, this is balanced despite showing raw tannins. Toasty blackened flavors of baked berry fruits, chocolate and licorice finish long, toasty and peppery. Drink through 2025–2028.",50.0,92,0,0.9717993192028378
38995,CVNE 2010 Pagos de Viña Real  (Rioja),"CVNE's top wines from 2010 are outstanding across the board. This sun-baked wine is bursting with black cherry, blackberry, spice, vanilla and cedary aromas. A tight, exact and fresh palate blends richness and balance, while ripe blackberry, cassis and black pepper flavors finish with a pure feel, a touch of buttery oak, and nuances of licorice and herbs. Drink this modern beauty through 2025.",110.0,95,0,0.9716535172265243
79887,Durigutti 2010 Familia Red (Mendoza),"Ripe, toasty, smoky aromas of blackberry, cassis, licorice and prune are gritty. This is big, tannic and blocky, with tartaric scrape. Flavors of blackberry, cassis, raw oak, licorice and spice finish with notes of toast, chocolate and baking spices. Drink this full-bodied, jammy blend of Malbec and four other red grapes through 2020.",58.0,92,0,0.9715987887867716
88761,Mas Blanch I Jové 2009 Saó Expressiu Red (Costers del Segre),"Subtle, rooty, expressive aromas of blackberry, raisin and tobacco are heady and pure, with magnetic pull. A full-bodied palate is loaded with ripe berry fruit and baked, peppery, spicy blackberry flavors that end long and sturdy, with integrated oak and balance between ripe berry and even riper black currant flavors. Drink through 2021.",34.0,92,0,0.9714994499898741
