,title,description,price,points,lda_label,2
41079,Château Haut-Monplaisir 2014 Pur Plaisir Malbec (Cahors),"Since taking over a family estate in 1998, Cathy and Daniel Fournié have focused on making great wine with the help of their expert neighbors. This is the result. Produced from organic, low-yielding old vines and wood aged for nearly two years, the wine is concentrated and dense. Mint flavors show the new wood and give a polished edge to the black fruit. Powerful tannins and juicy acidity back up its fruitiness. This is a wine for long-term aging. Drink from 2023.",45.0,95,2,0.9763858198665591
14202,Château Pontet-Canet 2014  Pauillac,"This is a finely structured wine with dark tannins and intense black fruits. The estate, with its biodynamically grown fruit, has given an impressively pure wine, packed with tight serious tannins and a fine structure of black-plum skins and intense acidity. It is direct, firm and with a huge potential over many years. Drink from 2027.",110.0,96,2,0.9714045910585233
8587,Quinta do Sobral 2014 Vinha da Neta Red (Dão),"In the increasingly important Dão region, Sobral's top-of-the-range is an impressively rich dense wine. With its great tannins and generous black fruits, it is full of potential. Produced by winemaker Carlos Lucas from a selection of grapes as well as parcels, the wine is concentrated, dark and firm. The acidity gives it great life as well as a juicy character that emphasizes the ripe fruit. The wine is still young, drink from 2019.",26.0,93,2,0.9711769130979632
51221,Herdade da Capela 2010 Reserva Red (Alentejo),"Based in the southern Alentejo, this producer has made an old-fashioned, dark, brooding wine. It's still full of tannins even after six years, although the fruit is certainly there. It is rich and concentrated, dense with plum skin and ripe fruit flavors. The aftertaste is dry. The wine needs to age another year. Drink from 2017.",50.0,90,2,0.9710705140898597
61468,Château du Cèdre 2009 GC Malbec (Cahors),"A ripe, new-wood-dominated wine, this is smooth and polished in feel, while the powerful tannins of rich Malbec are preserved. It's dense, dark and concentrated, and the plum and blackberry fruits are layered with the dry, firm tannins and are lightened by the juicy acidity. This needs at least 6–7 years to show its best.",130.0,94,2,0.9708121282468001
16507,Cortes de Cima 2012 Reserva Red (Alentejano),"Produced from selected parcels of fruit in top vintages, this is the flagship wine from this Jorgensen family estate. Aragonez and Syrah dominate this ripe still-young wine. It is rich and concentrated with powerful tannins and layers of acidity, dark chocolate flavors and generous black-plum flavors. It will certainly age further and this fine wine will be best drunk from 2019.",110.0,92,2,0.9706485828331978
60009,Château Léoville Barton 2001  Saint-Julien,"A wonderfully firm, concentrated wine that walks a fine, balanced line between richness and poised structure. It is classic in the best sense, showing all the shape of a fine Bordeaux, while adding the extra dimension of the freshest of black fruits, complexity from a few hints of wood, and a dark, brooding, long-lasting aftertaste.",90.0,96,2,0.9704756162648228
101686,Chanson Père et Fils 2005  Charmes-Chambertin,"Dark in color, this is a rich, opulent, almost showy wine. The fruit is ripe, a combination of the sweetest strawberries with black cherries, laced with rich acidity. Then the tannins power in, a dry core of structure and density. Impressive and long-lasting, don't touch this wine for another six years at least.",225.0,96,2,0.9702336669072539
41082,Quinta do Noval 2015 Vintage  (Port),"Noval, one of the showpiece estates of the Douro, releases vintages in most years. This wine gives a fine reflection of what is, in fact, a great vintage which was almost a general declaration. It is impressive, ripe with generous black fruits and a fine balance between the spirit and the rich structure and fruit. It is going to mature quickly in the sense that it can be drunk within the next five years. It will also age for several decades.",110.0,95,2,0.9701068567008209
14154,Casca Wines 2010 Santos da Casa Grande Reserva Red (Douro),"Long wood aging and a selection of grapes from old vines have produced this firmly structured and concentrated wine. It is full of black plum-jelly flavors shot through with acidity. A solid, dry core promises even further aging. At the end, acidity gives a juicy, delicious aftertaste. Drink from 2017.",45.0,94,2,0.9700652538314307
