,title,description,price,points,lda_label,0,price_bin
85158,Alta Vista 2012 Single Vineyard Temis Malbec (Valle de Uco),"Inky berry and smoky, minerally aromas of charcoal properly introduce a saturated palate with tons of oak but even more fruit at its base. This supercharged Malbec is almost over the top, with massive blackberry, chocolate and molasses flavors. Burnt toast and chocolate mint-chip flavors on the finish confirm that this is a monster red. Drink through 2023.",48.0,95,0,0.957279837659147,above 40
78050,Teso La Monja 2012 Victorino  (Toro),"Like its big brother Alabaster, this is a superb Tinta de Toro that's powerfully built but also stylish. Aromas of cassis and blackberry are dark, malty and chocolaty. Flavors of burnt toast, dark chocolate, black peppercorn and blackberry end with a tannic yet balanced swirl of licorice and minerally complexity. Drink from 2017–2030.",65.0,95,0,0.9610914288159668,above 40
16096,Maetierra Dominum 2009 QP  (Rioja),"Spicy yet sweet aromas of sarsaparilla root, saddle leather and earthy berry fruits precede a rich dense palate. This tastes of dark cherry and berry fruit, with an herbal shading adding complexity. Chocolaty oak takes hold on a solid long finish. Drink through 2024.",68.0,94,0,0.9659072849540264,above 40
115108,Dominio de Berzal 2011 7 Varietales  (Rioja),"Concentrated, inky and charred on the nose, this is a ripe and heady Rioja with strong barrel influences. Blackberry, cassis and roasted black-plum flavors are appropriate given the wine's hefty build. Finishing flavors of coffee, bitter chocolate and baking spices are long and thorough. Drink this powerful Tempranillo-led blend through 2030.",75.0,94,0,0.9659704447888701,above 40
79431,Resalte 2009 Gran Resalte  (Ribera del Duero),"Rooty aromas of blackberry and baked plum share space on the bouquet with vanilla, smoke and coconut scents. This feels lush, round, firm and tannic, with profound depth. Flavors of blackberry, baking spices, chocolate and pepper finish toasty, with massive black-fruit leftovers. This is a powerful specimen to drink 2017–2030.",80.0,94,0,0.9659874569233526,above 40
88302,Marqués de Murrieta 2005 Castillo Ygay Gran Reserva Especial  (Rioja),"Superb at every checkpoint, this is a world-class wine. Cherry, cassis and earth aromas are spicy and mellow, not bullish or loud. This feels creamy but with enough textural grit to keep things lively, while flavors of vanilla, tobacco and plum are nicely integrated. A mild, medium-long finish epitomizes elegance. Drink now through 2025.",89.0,95,0,0.9629154060640015,above 40
102579,Clos Mogador 2012 Red (Priorat),"With its patented blend of ripe plum and berry aromas matched against notes of wood smoke, herbs and leather, this is ripped and focused in the mouth, with strong but manageable tannins. Flavors of buttery oak, schist, blackberry and cassis culminate with mocha, vanilla and an overall sense of greatness. Drink from 2017 through 2025.",90.0,95,0,0.9592162947298458,above 40
109290,Terroir Al Límit 2014 Dits Del Terra Carignan (Priorat),"This Carignan welcomes you with fresh berry aromas that are like jam, accented by spice notes. Secondary aromas of coffee and toast lead to a full, saturated palate with a vise grip. Deep, savory flavors of roasted plum are spicy on a complex finish that blends power and elegance to the end. Drink from 2018–2030.",90.0,95,0,0.9627070629935496,above 40
70099,Colomé 2010 Reserva Malbec (Salta),"Take note, this could be the best wine Colomé has ever bottled. Cedary oak aromas grace ripe, almost desiccated wild berry notes that are slightly herbal and sauvage. A well-layered mouthfeel is ideal in power and precision. Requisite blackberry, cassis, toast and peppery flavors finish dry and long, with little heat or burn. Drink through 2021.",90.0,95,0,0.9592310525698847,above 40
7053,Viña Cobos 2012 Bramare Marchiori Vineyard Malbec (Luján de Cuyo),"Toasty woodsmoke aromas are matched by wild berry, cassis, cherry and marshmallow scents on the nose of this huge Malbec. Creamy feeling but also inky and fully concentrated, this tastes like black cherry and cough drops. Candied ripeness carries onto the finish along with chocolate and dry spice flavors. Drink through 2022.",90.0,94,0,0.964629781433309,above 40
107530,Viña Cobos 2012 Bramare Rebon Vineyard Malbec (La Consulta),"Rocking black-fruit aromas come with strong accents of wood grain, char and desert herbs. This is big and rich from front to tail, with poking but controlled tannins and ripe, heady flavors of blackberry, cassis, herbs and toasted wood. Plum, blackberry, salty notes and charred oak flavors define the finish; drink through 2022.",90.0,94,0,0.9673646607168186,above 40
96552,Vall Llach 2006 Red (Priorat),"Earthy and deep as midnight, with spice, floral notes, herbal aromas, tobacco and mocha. The palate is super rich, almost to the point of syrupy, with blackberry, brown sugar and coffee flavors. Finishes chewy, ripe and deep, with no harshness or tannic grind. Drink now through 2013.",95.0,94,0,0.9630117963083199,above 40
70098,Terrazas de Los Andes 2009 Single Parcel Los Cerezos Malbec (Luján de Cuyo),"While the nose on this muscular Malbec is lush, ripe and minty, there's also a grounding, complex scent of graphite. Blazing with intensity, this tastes like a glorious blend of plum, prune, chocolate and caramel. Dry spice, toasty oak and ripe berry flavors touch up against raisiny on the finish. Drink through 2019.",100.0,95,0,0.9645377300109182,above 40
38995,CVNE 2010 Pagos de Viña Real  (Rioja),"CVNE's top wines from 2010 are outstanding across the board. This sun-baked wine is bursting with black cherry, blackberry, spice, vanilla and cedary aromas. A tight, exact and fresh palate blends richness and balance, while ripe blackberry, cassis and black pepper flavors finish with a pure feel, a touch of buttery oak, and nuances of licorice and herbs. Drink this modern beauty through 2025.",110.0,95,0,0.9716535172265243,above 40
40179,Dominio de Atauta 2011 Valdegatiles  (Ribera del Duero),"Lush prune and raisin aromas stop short of being mushy and make way for fresher notes of black currant and toast. Saturated, dense and chewy on the palate, this tastes ripe and toasty, with hefty blackberry and chocolate flavors. Additional toastiness and peppery spice flavors work the finish on this generous Tempranillo from an excellent vintage. Drink from 2017–2030.",125.0,94,0,0.968695387313939,above 40
46454,Telmo Rodríguez 2009 Altos Lanzaga  (Rioja),"The last Altos that was this good came in 2004; this vintage is on a par with that superb wine courtesy of deep plum, mocha and marzipan aromas. This is a modern Rioja with impeccable balance despite being huge and tannic. Flavors of cassis, black cherry and dark plum operate off a mocha base, while the finish is toasty and chocolaty, with a note of black coffee. Best from 2015–2024.",127.0,94,0,0.9646005366708119,above 40
59867,Emilio Moro 2011 Malleolus de Valderramiro  (Ribera del Duero),"Dark, toasty aromas suggest creosote and chimney smoke; throw in black olive, blackberry, dark plum and mocha scents and this is one hefty package. Fully tannic, with toasty chocolaty flavors of black fruits and oak-based spice, this finishes full and fierce, but not mean. Drink from 2019–2035.",150.0,95,0,0.9647882405452075,above 40
68193,Vega Sicilia 2012 Valbuena 5  (Ribera del Duero),"Lightly charred, toasty berry aromas come with a full covering of clove and baking spice scents in this plush wine. The palate is edged with drying tannins, bolstering exotic berry, spice and herbal flavors. Its long, balanced finish features chocolate and unabsorbed oak. Drink through 2022.",195.0,94,0,0.9645940520648173,above 40
70834,Bodegas Roda 2005 Cirsion  (Rioja),"Jammy, creamy and superripe, with raspberry, burnt toast and coffee on the thick, meaty nose. Flavors reminiscent of an ice cream sundae work the palate, which means berry syrup, chocolate sauce and vanilla are highly prominent. Texturally speaking, this is a smooth, soft and plush wine. It pushes the envelope on ripeness, but that's become the Cirsion way. An awesome wine that deserves a proper decanting.",303.0,96,0,0.9645429253949235,above 40
