,title,description,price,points,lda_label,2,price_bin
39942,Cellers Unió 2013 Roureda Llicorella Gran Selecció Vitis 60 Grenache-Carignan (Priorat),"This red opens with reticent jammy aromas that expand to include licorice and asphalt notes. The wine is so saturated that it weighs down on the palate. Flavors of savory berry fruits are matched by saucy tomato and spice notes. On a sinewy finish, tomato sauce, raspberry and red-plum flavors stick out. Drink through 2026.",33.0,93,2,0.9499906714857994,20-40
7692,Cono Sur 2013 20 Barrels Cabernet Sauvignon (Maipo Valley),"Dense, baked and mulled blackberry and cassis aromas include bold but classy oak notes. This feels seamless except for raring tough tannins, while flavors of toast, graphite and spiced blackberry finish smooth and chewy, with a sense of lushness despite lasting residual tannins. Drink through 2025.",35.0,93,2,0.9590818314727804,20-40
68983,Cono Sur 2013 20 Barrels Cabernet Sauvignon (Maipo Valley),"Dense, baked and mulled blackberry and cassis aromas include bold but classy oak notes. This feels seamless except for raring tough tannins, while flavors of toast, graphite and spiced blackberry finish smooth and chewy, with a sense of lushness despite lasting residual tannins. Drink through 2025.",35.0,93,2,0.9590818314727804,20-40
23023,Aguijón De Abeja 2015 Reserva Malbec (Argentina),"While this is immensely oaky on the nose, that wood and char works because it comes with ripe cassis, blackberry and raisin scents. Chewy, ultraripe and tannic on the palate, this tastes of sweet black fruits, chocolaty oak and wood. An oaky reprise is front and center on a grabby stacked finish. Drink through 2023.",40.0,93,2,0.9608632695950783,20-40
85158,Alta Vista 2012 Single Vineyard Temis Malbec (Valle de Uco),"Inky berry and smoky, minerally aromas of charcoal properly introduce a saturated palate with tons of oak but even more fruit at its base. This supercharged Malbec is almost over the top, with massive blackberry, chocolate and molasses flavors. Burnt toast and chocolate mint-chip flavors on the finish confirm that this is a monster red. Drink through 2023.",48.0,95,2,0.9526224346961655,above 40
77449,Salentein 2012 PR1MUM Cabernet Sauvignon (Uco Valley),"This classy Cabernet marks a high point for Salentein. On the nose, it's redolent of oak grain, tobacco, vanilla and all sorts of berry fruits. The palate is full, ripe and solid as an ox. Spiced berry, tobacco and cedary flavors finish dry, sturdy and lightly herbal. Drink through 2022.",65.0,93,2,0.952616012630539,above 40
116252,Salentein 2013 Pr1mum Malbec (Uco Valley),"This is a top-dog Malbec from start to finish. Aromas of cassis, black plum and blackberry are well oaked and in harmony with each other. While this is tannic, rubbery and hard in feel, the wine's lusty plum, raisin, chocolate and herbal flavors can handle it. A spicy, toasty, chocolaty finish is fully oaked and strapping. Drink through 2023.",65.0,93,2,0.9590879341745562,above 40
116256,Bodega Renacer 2012 R Malbec (Mendoza),"This Malbec is exceedingly ripe from start to finish. Aromas of blackberry, raisin, char and loamy earth announce a 16% heavyweight that holds onto its elegance. Flush, plump and elastic on the palate, this tastes of fig, blackberry, cassis and mocha. Chocolate and woodspice flavors drive a lush, dense finish that's a touch hot. Drink through 2020.",65.0,93,2,0.957134324262993,above 40
92900,Pintia 2009  Toro,"There's no denying this wine's force. It's 15% ABV but balanced, with roasted berry, leather, toasty oak, graphite and prune aromas. The palate feels full, flush and without gaps, while flavors of blackberry, cassis, chocolate and spice finish exceedingly smooth, with loamy notes and leftover spice. Drink through 2020.",70.0,93,2,0.9499885745183603,above 40
39941,Casar de Burbia 2013 Tebaida Mencía (Bierzo),"Dark, smoky, oaky aromas of tobacco, leather and black fruits lead to a palate that's muscular, tannic and solid as a pile of rocks. Cool, earthy black-fruit flavors include woodspice and dark-chocolate notes. This Mencía from a cold year is flush, rugged and dry on the finish. Drink through 2025.",76.0,93,2,0.9549885023965926,above 40
