,title,description,price,points,cluster_label,cosine_similarity,price_bin
35256,Cavalli Tenuta degli Dei 2007 Red (Toscana),"From fashion designer Roberto Cavalli's wine estate (run by his son Tommaso), this elegant super Tuscan blend of Merlot, Cabernet Sauvignon, Cabernet Franc, Petit Verdot and Alicante Bouschet opens with compelling intensity and pristine aromas of ripe blackberry, spice, leather and dark chocolate.",45.0,93,5,0.5715505167663204,above 40
46527,DeLille 2014 D2 Red (Columbia Valley (WA)),"This wine is a blend of Merlot (58%), Cabernet Sauvignon (36%), Cabernet Franc (5%) and Petit Verdot. Vibrant aromas of cherry meats, raspberry, dried herb and barrel spice are followed by a fruit-forward flavorful palate backed by firm tannins. It has a high yum factor.",48.0,93,5,0.5863252442231327,above 40
46243,DeLille 2014 D2 Red (Columbia Valley (WA)),"This wine is a blend of Merlot (58%), Cabernet Sauvignon (36%), Cabernet Franc (5%) and Petit Verdot. Vibrant aromas of cherry meats, raspberry, dried herb and barrel spice are followed by a fruit-forward flavorful palate backed by firm tannins. It has a high yum factor.",48.0,93,5,0.5863252442231327,above 40
67973,Lauren Ashton Cellars 2009 Cuvée Arlette Red (Red Mountain),"This is a stunning Bordeaux-style blend of 57% Merlot, 19% Cabernet Franc and 9% Cabernet Sauvignon, with 2.5% each of Petit Verdot and Malbec. Tight, dark and dense, it showcases the detailed styling that epitomizes the Lauren Ashton portfolio. Perfectly ripe and perfectly proportioned, it has the power and tannin to age for decades.",50.0,95,5,0.5346993935339529,above 40
22586,Robert Young 2008 Scion Cabernet Sauvignon (Alexander Valley),"Another terrific Scion from Robert Young. Blended this year from Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot, it's rich in blackberry and cherry fruit, with caramel from oak barrels. Feels soft and gentle in the mouth, in the way of Alexander Valley Cabernet. An authentic wine of place, it deserves a place on the best tables.",62.0,94,5,0.5656746403865491,above 40
55735,Textbook 2013 Page Turner Red (Oakville),"This is a beautiful blend of 60% Merlot, 20% Cabernet Franc and 20% Cabernet Sauvignon. Sanguine, ethereal currant and cranberry are twisted in game and black pepper, the midpalate velvety in texture with a gravelly edge.",65.0,94,5,0.5553480952397575,above 40
27890,Tenuta di Biserno 2007 Coronato  (Bolgheri),"This excellent vintage of Coronato (a hearty blend of Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot) opens with inky, black concentration and aromas of chocolate fudge, espresso, black fruit and spice. The wine tastes velvety and rich and will age for 10 years or more.",74.0,93,5,0.571027771013151,above 40
114082,Substance 2013 Super Substance Bx Klein Vineyard Red (Walla Walla Valley (WA)),"This wine is a blend of 39% Cabernet Sauvignon, 36% Merlot and 25% Cabernet Franc. It brings heady aromas of blackberry, black cherry, earth, herb and coffee followed by dense palate-coating dark-fruit flavors. The hedonism is dialed up and the finish won't quit. The balance is absolutely impeccable. Best from 2022 to 2030.",75.0,94,5,0.5647073567230532,above 40
77192,Hunt & Ryde 2013 Trophy Red (Rockpile),"This is a quiet blend of 23% Cabernet Sauvignon, 22% Cabernet Franc, 19% Malbec, 18% Merlot and 18% Petit Verdot. It's delicate and light in toasted oak, with clove, tobacco, blueberry and cassis flavors. It finishes on a lingering licorice note.",75.0,93,5,0.6167464944644308,above 40
112795,Seven Hills 2009 Pentad Red Wine Red (Walla Walla Valley (WA)),"This is a blend of 57% Cabernet Sauvignon, 21% Petit Verdot, 8% Cabernet Franc, 7% Malbec and 7% Merlot. A masterpiece of blending, it has myriad pinpoint details, from the nose of flowers and berries, to the mouthfilling mélange of red and black fruits and finishing highlights of pepper and Asian spice. A precise, complex, elegant and powerful   Pentad with tremendous length, it represents the pinnacle of vintner Casey McClellan's 25 years of winemaking.",75.0,96,5,0.5761608609535442,above 40
66191,Tua Rita 2008 Giusto di Notri Red (Toscana),"This fabulous blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot delivers loads of plush softness and succulent richness. Aromas of chocolate, ripe fruit and spice are distinct and clear, and the wine shows compelling complexity and intensity overall.",80.0,95,5,0.519794811305263,above 40
84427,Carte Blanche 2009 Proprietary Red Wine Red (Napa Valley),"This is a very rich wine that's made in the modern style of soft ripeness and upfront deliciousness. A blend of Merlot, Cabernet Sauvignon and Cabernet Franc, it shows flashy blackberry, cherry, cassis and chocolate flavors. This is best enjoyed over the next few years for it's sheer luxurious taste.",95.0,94,5,0.5331875387415251,above 40
88189,Carte Blanche 2009 Proprietary Red Wine Red (Napa Valley),"This is a very rich wine that's made in the modern style of soft ripeness and upfront deliciousness. A blend of Merlot, Cabernet Sauvignon and Cabernet Franc, it shows flashy blackberry, cherry, cassis and chocolate flavors. This is best enjoyed over the next few years for it's sheer luxurious taste.",95.0,94,5,0.5331875387415251,above 40
12487,Vilafonté 2012 Series C Red (Paarl),"A blend of 52% Cabernet Sauvignon, 22% Malbec, 19% Merlot and 7% Cabernet Franc, spicy aromas of leather, black pepper, savory herbs, licorice and Mexican chocolate lead the nose. It's grounded by a solid fruit core of blackberry, boysenberry and mulberry fruit, lending a supporting spine to the toasted spice and earthy accents. Well balanced, with velvety tannins and a long, evolving finish, drink this lush, velvety red from 2018–2024.",95.0,94,5,0.5306762464224468,above 40
66947,Tua Rita 2005 Giusto di Notri Red (Toscana),"Impossibly intense and rich, Giusto di Notri is a compelling blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot that takes brutal hold of your senses thanks to its amazing density and texture. The long list of aromas generated here includes black cherry, spice, tobacco and cola and the wine glides in excruciating slow motion over the palate.",100.0,95,5,0.5415052637279686,above 40
1093,Tamber Bey 2014 Vermejo Deux Chevaux Vineyard Red (Yountville),"This blend works in commingling 58% Cabernet Sauvignon, 17% Merlot, 17% Cabernet Franc and 4% each of Malbec and Petit Verdot, all from the producer's vineyard. Caramel sparks a richness against which herbal, woody tannins speak. The body expansive and full, and the finish awash in spicy clove.",115.0,93,5,0.6023176148564986,above 40
5630,Leonetti Cellar 2010 Reserve Red (Walla Walla Valley (WA)),"Leonetti's 2010 Reserve includes 52% Cabernet Sauvignon, 30% Merlot, 9% Cabernet Franc and 9% Malbec—a more complex blend than the 2009. It opens with a lovely floral aroma—a bouquet of clover and white flowers—then heads for the dark side, with black cherry and cassis. It's a big, tannic wine, beautifully crafted, and clearly differentiated from the winery's regular Cabernet bottling.",140.0,95,5,0.5420749955407547,above 40
66196,Monteverro 2008 Red (Toscana),"This represents a debut vintage from a brand new estate in a little-known corner of southern Tuscany made with consultant Michel Rolland. The blend is Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot and the results are savory and delicious, with lingering tones of blackberry, rum cake, spice and leather.",175.0,95,5,0.5300061377471141,above 40
105564,Tenuta di Biserno 2010 Biserno Red (Toscana),"Graphite, black currants, mocha and spice aromas emerge from the glass. Made with Cabernet Franc, Merlot, Cabernet Sauvignon and Petit Verdot, the rich, smooth palate doles out ripe red cherry, crushed black raspberry, dark chocolate, espresso and licorice wrapped in soft, silky tannins. Drink through 2019.",175.0,94,5,0.5520516726485343,above 40
85140,Joseph Phelps 2012 Insignia Estate Grown Red (Napa Valley),"In this vintage, the producer's beloved blend is a commingling of 75% Cabernet Sauvignon, 10% Merlot, 10% Petit Verdot, 3% Malbec and 2% Cabernet Franc. Two years in new French oak give it a youthful, tannic nature around smoky black cherry, burly leather and full-bodied richness and concentration. Further time in the bottle should coax out the blackberry and cherry; cellar through 2027.",240.0,95,5,0.5400615393993303,above 40
