,title,description,price,points,lda_label,9,price_bin
4075,Biondi 2014 Contrada Monte San Nicolò  (Etna),"Fragrant and loaded with finesse, this opens with aromas of wild berry, blue flower, new leather, aromatic herb and a whiff of exotic spice. The structured, elegant palate delivers layers of red cherry, strawberry, flinty mineral, orange zest, star anise and clove framed in firm, polished tannins and bright acidity. It's still young and will develop even more complexity. Drink 2019–2029.",30.0,95,9,0.977494266793796,20-40
24635,Il Colle 2011  Brunello di Montalcino,"Red berry, wild mint, crushed rose, forest floor and new leather are just some of the aromas you'll find on this fragrant delicious red. Seamlessly boasting structure and finesse, the full-bodied palate displays layers of succulent morello cherry, raspberry compote, licorice and cinnamon while firm velvety tannins lend support and a polished texture. A savory saline note wraps up the lingering finish. Drink 2018–2026.",45.0,96,9,0.9735243913868448,above 40
53677,Baricci 2012  Brunello di Montalcino,"Enticing perfumed berry, violet, new leather and a truffle scents emerge in this textbook Brunello. On the savory, full-bodied palate, licorice, clove and chopped herb flavors accent a juicy core of ripe black cherry fruit. Firm, refined tannins provide structure. It's already tempting but hold for even more complexity. Drink 2020–2032.",50.0,96,9,0.9727218371371621,above 40
107160,Produttori del Barbaresco 2011 Rabajà Riserva  (Barbaresco),"Combining finesse and structure, this impressive wine opens with alluring aromas of mature berry, pressed rose, aromatic herb, star anise, new leather and a balsamic note. The palate shows depth and tension, offering raspberry compote, Marasca cherry, licorice, clove and pipe tobacco alongside taut refined tannins. Hold for even more complexity. Drink 2019–2031.",58.0,97,9,0.9718696253850414,above 40
107165,Grimaldi Bruna 2013 Badarina  (Barolo),"A balsamic note of menthol, dark culinary spice, crushed herb, new leather and wild berry aromas come together in the glass. Firmly structured but extraordinarily refined, the palate doles out red cherry, crushed strawberry, tobacco and cinnamon set against tightly woven refined tannins. Lively acidity lends balance and energy while a licorice note wraps around the lingering finish. Drink 2025–2043.",75.0,97,9,0.9742792405445788,above 40
109270,Brovia 2013 Garblèt Suè  (Barolo),"This stunning wine opens with classic Nebbiolo aromas of new leather, rose, wild berry, crushed herb, dark spice and menthol. The palate is chiseled and loaded with finesse, doling out juicy red cherry, ripe strawberry, licorice and cinnamon flavors. It's structured with polished tannins and bright acidity. Drink 2023–2043.",83.0,98,9,0.9666614111230393,above 40
40887,Terralsole 2010 Riserva  (Brunello di Montalcino),"Tilled soil, mature berry, menthol, leather and a suggestion of game unfold on this delicious, full-bodied red. The structured, polished palate doles out juicy Morello cherry, raspberry jam, cinnamon, chopped herb and licorice while firm, refined tannins lend finesse and a silky texture. Drink 2018–2028.",89.0,96,9,0.9689611675272801,above 40
14787,Albino Rocca 2014 Angelo  (Barbaresco),"Earthy, enticing violet, pressed rose, new leather crushed mint and game aromas follow through to succulent, savory palate, along with Marasca cherry and cranberry notes. Star anise, white pepper and clove accents add depth while youthfully assertive, refined tannins and vibrant acidity provide an ageworthy framework. Drink 2022–2034.",98.0,96,9,0.970964259619759,above 40
40881,Gianni Brunelli 2010 Riserva  (Brunello di Montalcino),"Underbrush, dark-skinned berry, chopped mint and cooking spice aromas lead the way on this fabulous, structured wine. The full-bodied palate delivers a juicy core of ripe black cherry while white pepper, cinnamon, dried herb and a balsamic note provide the backdrop. Firm but refined tannins and fresh acidity provide balance and support. Drink 2018–2030.",100.0,97,9,0.9735245632159867,above 40
91818,Mascarello Giuseppe e Figlio 2010 Villero  (Barolo),"Enticing aromas of iris, rose, perfumed red berry and cake spice emerge on this stunning wine. The elegantly structured, silky palate delivers juicy wild cherry, crushed raspberry, mint, white pepper and tobacco alongside firm but ultrafine tannins. It's already tempting but hold to let it unwind and develop more complexity. Drink 2018–2035.",100.0,97,9,0.9678525499691062,above 40
