,title,description,price,points,lda_label,4
84352,L'Ecole No. 41 2012 Ferguson Vineyard Estate Grown Red (Walla Walla Valley (WA)),"This is the second vintage of this wine from the winery's young estate property. A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Malbec, it's locked up at present with aromas of coffee, graphite, cherry, barrel spices and licorice. The dark chocolate and cherry flavors are tightly coiled and the lightly grippy tannins are wound up. There's lot of promise there but it needs time to be realized. It will be best after 2021.",60.0,92,4,0.9727198071730286
74900,Ram's Gate 2010 Winemaker's Cuvée Cabernet Sauvignon (Sonoma Valley),"This powerful Cabernet Sauvignon calls on 13% Malbec to further its brawn, the mix spending two years in entirely new French oak. Hugely muscular, it needs time to calm its masterfully ripe fruit and dark layers of clove spice, and to further soften its tannins and coax out the shy component of herb. The vineyard behind the wine is Bismark within the newly named Moon Mountain District.",64.0,90,4,0.9666608181615001
61147,Castello di Amorosa 2012 La Castellana Red (Napa Valley),"Tightly woven tannins mark this blend of 76% Cabernet Sauvignon, 15% Sangiovese and 9% Merlot. From there, it's a story of soft leather, black tar and rich, velvety blackberry, given 20 months in large French oak barrels. More time in bottle should help make friends of the disparate elements; drink through 2020.",95.0,90,4,0.9653777450192177
62711,Kontos 2010 Alatus Red (Walla Walla Valley (WA)),"The Alatus blend is two-thirds Cabernet Sauvignon, with Merlot, Malbec and Syrah also in the mix. Dark and spicy, it remains compact and toasty, with a solid core of cassis, coffee grounds, cedar and smoke. The barrel influences (40% new) are well displayed, but the rest of the wine needs more time to catch up.",36.0,89,4,0.9639947841283534
75653,Ferrari-Carano 2012 Trésor Red (Sonoma County),"This juicy, full-bodied blend holds several Bordeaux red varieties, with Cabernet Sauvignon dominant. Smooth and soft, it dances elegantly in clove, black currant and licorice, exhibiting both structure and weight. It finishes lengthy in more of that clove.",52.0,90,4,0.9639929898690839
69572,:Nota Bene 2008 Conner Lee Vineyard Red (Columbia Valley (WA)),"Aged for 22 months in French oak—one third new—this is 67% Cabernet Sauvignon and 33% Merlot. Nota Bene's wines are not shy about high alcohol, but here the fruit stands up well to the oak treatment and shows no sign of over-ripeness. A good spine supports a rich wine with black fruits, balanced acids, and a big streak of espresso.",30.0,91,4,0.9639902637995708
49188,Blackbird Vineyards 2012 Illustration Red (Napa Valley),"This blend combines 64% Merlot with 34% Cabernet Franc and 2% Cabernet Sauvignon to nice effect, offering cranberry and red, juicy plum around softly cradled tannins and well-resolved oak. Juicy, structured and fully balanced, the finish sparks elements of leather with tobacco.",125.0,93,4,0.963988073402472
61985,Apsara 2014 Amoenus Vineyard Cabernet Sauvignon (Napa Valley),"This is 100% varietal, aged nearly two years in 80% new French oak. Bold and layered, it offers a soft texture and moderate acidity, giving a richness of black currant and berry to appear. Dusty pencil shavings and subtle clove add to the whole.",80.0,88,4,0.9624908447924337
100455,Belhurst 2013 Manitou 5 Grape Blend Red (New York),"This classic blend of Bordeaux grape varieties maintains a classic feel throughout. It's elegant in frame, medium bodied and invigorating in acidity, yet rich with blackberry and cassis flavors. Tannins are bold and dense, but ripe, suggesting improvement with age. Hold till 2019.",45.0,88,4,0.9624857889113173
21534,Arrowood 2013 Proprietary Red (Sonoma County),"This is a blend of Cabernet Sauvignon, Cabernet Franc, Merlot and Malbec from both the Sonoma Valley and Alexander Valley appellations, that works in its big, broad and tannic approach to ripeness and bold flavor. Plum, cranberry and currant provide fruit as black olive plays on the back of the palate.",50.0,87,4,0.9608628008812515
95361,Gamache 2010 Estate Merlot (Columbia Valley (WA)),"Consulting winemaker Charlie Hoppes has imprinted his benchmark style on Gamache fruit. This is a big, ripe, blocky but powerful wine—all Merlot as only Washington State can grow it. The ripe cassis fruit is enveloped in a mix of French and American oak, half new, yielding strong flavors of smoke, tobacco and mocha. A blockbuster style, ready to drink right now.",30.0,91,4,0.9608616223309528
110201,Walla Walla Vintners 2010 Cabernet Sauvignon (Walla Walla Valley (WA)),"Along with the Cabernet Sauvignon, this Bordeaux-style blend includes small percentages of each of the other five grapes. It's a stylish blend, opening with a precisely-defined toasty aroma, leading into a complex palate built upon red and black fruits, sleek tannins and a hint of caramel.",36.0,91,4,0.9608607295398157
115774,Duckhorn 2011 Three Palms Vineyard Merlot (Napa Valley),"There's grip around this wine's core of clove, plum and smoke but the lushness is muted, perhaps an indication of the tough growing year, while structure remains. Small amounts of Cabernet Sauvignon and Cabernet Franc are blended in, the whole aged in 51% new French oak.",95.0,87,4,0.960860309948566
78144,Woodinville Wine Cellars 2009 Little Bear Creek Red Red (Columbia Valley (WA)),"This Bordeaux-style blend includes Cabernet Sauvignon, Cab Franc, Merlot and Malbec. A tasty, toasty bottle, it's loaded with ripe black fruits, notably cherry and cassis. The tannins are supple and seem soaked in Kahlua.",20.0,90,4,0.960859554568275
100207,Woodinville Wine Cellars 2009 Little Bear Creek Red Red (Columbia Valley (WA)),"This Bordeaux-style blend includes Cabernet Sauvignon, Cab Franc, Merlot and Malbec. A tasty, toasty bottle, it's loaded with ripe black fruits, notably cherry and cassis. The tannins are supple and seem soaked in Kahlua.",20.0,90,4,0.960859554568275
92457,Janzen 2012 Cloudy's Vineyard Cabernet Sauvignon (Napa Valley),"Dark, rich mountain blueberry and blackberry form the core of this classically delicious Napa Valley wine from an estate vineyard. Velvety dark chocolate melts over integrated tannins and a medium-strength body, the finish lengthy, dusty and well-structured. Age through 2020–2022.",125.0,93,4,0.9608593191394168
62495,Francis Coppola 2013 Claret Diamond Collection Black Label Cabernet Sauvignon (California),"Seriously tasty and full-bodied, this inky-colored wine is packed with ripe fruit, fine tannins and firm texture, and needs a juicy steak or tender roast as a table mate. A core of black cherry and black plum is shaded by spicy oak.",21.0,88,4,0.960859126655449
37272,Sleight of Hand 2012 The Conjurer Red (Columbia Valley (WA)),"This Bordeaux-style blend is 42% Cabernet Sauvignon, 24% Merlot, and 34% Cabernet Franc. Some 20% saw new French oak, and the wine has lovely concentration and flavor integration. Blueberry, blackberry and cassis are wrapped in cacao and coffee—thoroughly luscious and nicely concentrated.",28.0,91,4,0.9590851227605927
4198,Sequoia Grove 2012 Cambium Red (Napa Valley),"The producer's flagship wine, this vintage blends Cabernet Sauvignon, Merlot and Cabernet Franc. Dry tannins provide a leathery texture atop piquant sensibilities of cedar, pencil and chocolate-specked blackberry jam. Structured and full bodied, it'll benefit from further cellaring. Drink now through 2022.",115.0,91,4,0.9590844420385264
7792,Hensteeth 2009 Proprietary Red (Sonoma County),"Generously filling and satisfying, this Bordeaux-styled blend is mostly Cabernet Sauvignon and Cabernet Franc. It's medium in oak and tannin, with a toasty character underlying red cherry, currant and cassis, the ending marked by cedar and clove.",49.0,88,4,0.9590840287921165
23838,Hensteeth 2009 Proprietary Red (Sonoma County),"Generously filling and satisfying, this Bordeaux-styled blend is mostly Cabernet Sauvignon and Cabernet Franc. It's medium in oak and tannin, with a toasty character underlying red cherry, currant and cassis, the ending marked by cedar and clove.",49.0,88,4,0.9590840287921165
68552,Seven Bridges 2009 Elerding Vineyard Cabernet Sauvignon (Yakima Valley),"Made from Elerding Vineyard fruit, this wine is aged in 100% new oak for 24 months. It's dark and concentrated, and it deals attention-grabbing barrel-derived flavors of dark chocolate, licorice and espresso. The black cherry flavor has the grip and power to handle the barrel influence, but the wine will profit from additional bottle age.",40.0,88,4,0.9590834325262486
26179,Sequoia Grove 2012 Cabernet Franc (Napa Valley),"Made from a majority of Cabernet Franc, this wine is blended with 11% Cabernet Sauvignon and 1% Syrah. The fruit comes from the winery's estate vineyard in Rutherford as well as from Stagecoach Vineyard in Atlas Peak. Initially smoky, it reveals pockets of cedar and herb before unleashing juicy black cherry, chocolate and dusty, big tannins.",48.0,89,4,0.9590827096374223
20796,Perescuma 2013 Red (Alentejano),"Almost black in color, this densely ripe wine is powered by wood aging and dark tannins. The blend of Syrah, Alicante Bouschet, Aragonez and Cabernet Sauvignon is tough, firm and tannic while also having big, bold juicy black plum flavors. Drink from 2017.",15.0,91,4,0.9590826695129655
50869,Nickel & Nickel 2013 Element 28 Cabernet Sauvignon (Napa Valley),"Named for nickel's number on the periodic table, this hillside vineyard site is located across Lake Hennessey on the eastern edge of the valley. Entirely varietal, it offers juicy layers highlighted in cedar, mountain sage and mellowed chocolate. The oak and tannin are well integrated and deeply embedded, providing support and structure.",130.0,91,4,0.9590816031693954
88040,Nickel & Nickel 2013 Element 28 Cabernet Sauvignon (Napa Valley),"Named for nickel's number on the periodic table, this hillside vineyard site is located across Lake Hennessey on the eastern edge of the valley. Entirely varietal, it offers juicy layers highlighted in cedar, mountain sage and mellowed chocolate. The oak and tannin are well integrated and deeply embedded, providing support and structure.",130.0,91,4,0.9590816031693954
35602,Girard 2013 Artistry Cabernet Sauvignon-Cabernet Franc (Napa Valley),"A blend of Bordeaux varieties, this is mostly Cabernet Sauvignon and Cabernet Franc. Moderate in acidity and body, it has a ripeness to the fruit. Blueberry, chocolate and chalky, dusty tannin dominate, with a chill of violet perfume.",45.0,87,4,0.9590815304840588
14649,G & L Lurton 2013 Amaino Red (Sonoma County),"This estate-driven wine combines 84% Cabernet Sauvignon, 10% Cabernet Franc and 6% Merlot. Made in a classical Old-World style, it offers chalky tannin around composted earth, blackberry and cassis. The texture is firm and grippy, with supportive acidity at its core.",49.0,92,4,0.9590803885413391
47403,G & L Lurton 2013 Amaino Red (Sonoma County),"This estate-driven wine combines 84% Cabernet Sauvignon, 10% Cabernet Franc and 6% Merlot. Made in a classical Old-World style, it offers chalky tannin around composted earth, blackberry and cassis. The texture is firm and grippy, with supportive acidity at its core.",49.0,92,4,0.9590803885413391
53152,White Rock Vineyards 2013 Estate Grown Cabernet Sauvignon (Napa Valley),"Blackberry, cherry and plum notes form this estate wine's fruity core, complemented by an earthy thread of cedar, pencil and tobacco. Dry, firm tannins give it a structure that takes time to unwind, the finish marked by powerful grace and spicy clove.",65.0,91,4,0.9590790495272709
105449,White Rock Vineyards 2013 Estate Grown Cabernet Sauvignon (Napa Valley),"Blackberry, cherry and plum notes form this estate wine's fruity core, complemented by an earthy thread of cedar, pencil and tobacco. Dry, firm tannins give it a structure that takes time to unwind, the finish marked by powerful grace and spicy clove.",65.0,91,4,0.9590790495272709
65041,Oberon 2012 Cabernet Sauvignon (Napa County),"Sourced from all over the Napa Valley, this wine blends 87% Cabernet Sauvignon with 1% Syrah and other unnamed red varieties. The effort works, resulting in a glass of concentrated red cherry, herb and spice, the tannins tight yet approachable enough for the wine to remain juicy.",25.0,90,4,0.9590790158597239
107446,14 Hands 2010 The Reserve Red (Horse Heaven Hills),"This blend of 46% Cabernet Sauvignon, 24% Malbec, 18% Merlot and 12% Cabernet Franc, brings barrel aromas of cocoa and chocolate that complement the cherry and plum notes. The flavors are soft and supple with some firmness to the tannins that still need some time to soften.",30.0,91,4,0.9571371458530284
25732,St. Francis 2011 Sonoma Cuvée Red (Sonoma County),"This feral, smoky Merlot-based Bordeaux blend relies on a mix of Merlot, Cabernet Sauvignon and Cabernet Franc. Red and black berry fruit intermingle amidst robust, dry tannins to make a statement of size and power.",40.0,85,4,0.9571371403387942
28854,Janzen 2011 Beckstoffer Missouri Hopper Cabernet Sauvignon (Napa Valley),"Cassis liqueur marks this structured Cab divine in firm, lengthy tannins and a chewy grip of black licorice. Given similar treatment to the winery's other highest echelon Cabs, it has 22 months in new French oak that will help it age through 2020–2030.",100.0,93,4,0.9571350268560362
58037,St. Francis 2012 Anthem Meritage (Sonoma County),"This blend of Cabernet Sauvignon, Malbec and Cabernet Franc offers licorice and soft layers of red and black fruit. Intense and full bodied, veering into a leathery texture, it finishes long and ripe, dusted in mocha.",65.0,88,4,0.9571344079659508
76301,Cornerstone 2012 Michael's Cuvée Cabernet Sauvignon (Napa Valley),"Cabernet Sauvignon is blessed with 9% Merlot, coming together in a seamlessly rich wine intense in dark chocolate, coconut and vanilla. Soft, the tannins are integrated and the juiciness of the fruit concentrated, finishing with more of that rich taste of chocolate.",75.0,90,4,0.9571343126166885
3811,Fiuza 2015 3 Castas Red (Tejo),"This blend of Touriga Nacional, Syrah and Cabernet Sauvignon is surprisingly soft and ripe, considering the tannic nature of the grapes. Instead it has fruity black currant flavors and plenty of forward acidity. Ready to drink now, its tannins just form the background.",12.0,87,4,0.9571339060238004
44958,Artesa 2014 Galatea Tempranillo-Cabernet Sauvignon (Sonoma County-Napa County),"Housed within a beautifully artful bottle, this blend of Tempranillo and Cabernet Sauvignon does justice to both sides of the equation, offering clove, cedar and juicy black cherry within soft, rounded corners of texture. It's fleshy, lush and full bodied.",90.0,93,4,0.9571325950276949
100240,Wölffer 2011 Fatalis Fatum Red (Long Island),"While toast and spice are prominent on the nose, oak notes integrate elegantly on the palate of this plush, full-bodied Bordeaux-style blend. It's juicy and fruit forward, with soft, chalky tannins showcasing sultry, ripe cassis and blackberry flavors.",35.0,88,4,0.9571310737271496
9612,Hess Collection 2011 Cabernet Sauvignon (Mount Veeder),"True to its advocacy for Malbec in the Napa Valley, the producer adds 15% Malbec to this Cabernet Sauvignon, forging a dark, rich and intense wine that's generous in black fruit and tobacco. It nonetheless retains ample acidity to stay balanced and rewarding on the palate. Enjoy through 2020.",60.0,91,4,0.957129811805717
50000,Gordon Estate 2010 Six Cabernet Sauvignon (Columbia Valley (WA)),"This pure Cabernet Sauvignon from the estate vineyard shows focused blueberry, black cherry and cassis fruit at its core, with underlying minerality. Dusty tannins and firm acids support a chewy, cherry-infused finish.",40.0,92,4,0.9571295593400722
105758,Mt. Brave 2008 Merlot (Mount Veeder),"A tremendous achievement in Merlot. The vineyard, around 1,600 feet up on Mt. Veeder, is now owned by the Jackson family, and the winemaker is Chris Carpenter, who oversees Cardinale. In fact, this Merlot bears an uncanny resemblance to Cardinale in the dramatically ripe, sweet fruit and superb, tannin-based structure. It's 100% Merlot, with hefty yet balanced alcohol, and the wine easily handles the 85% new French oak in which it was aged for 22 months.",60.0,98,4,0.957129408264478
98568,Viader 2013 Red (Napa Valley),"A slight majority of Cabernet Sauvignon is blended with 47% Cabernet Franc to offer an explosion of chocolate, blackberry jam and bitter black tea against more classical undertones of brushy sage and cedar. A powerhouse of a wine, it finishes in grippy tannin and oak. Cellar through 2023.",150.0,93,4,0.9571279881089471
20644,Stag's Leap Wine Cellars 2012 Artemis Cabernet Sauvignon (Napa Valley),"A rich, full-bodied wine with small amounts of Merlot and Malbec, this offers sizable tannins that wrap themselves around dark, brooding fruit and smoky oak. Blackberry and plum intertwine around luxurious chocolate and tobacco, complementing one another on the finish.",55.0,90,4,0.9549937851186602
67432,Stag's Leap Wine Cellars 2012 Artemis Cabernet Sauvignon (Napa Valley),"A rich, full-bodied wine with small amounts of Merlot and Malbec, this offers sizable tannins that wrap themselves around dark, brooding fruit and smoky oak. Blackberry and plum intertwine around luxurious chocolate and tobacco, complementing one another on the finish.",55.0,90,4,0.9549937851186602
11768,Virage 2010 Red (Napa Valley),"From a challenging Napa Valley vintage, this red is made in what the winemaker calls a “Right Bank” style, blending 56% Cabernet Franc with 42% Merlot and 2% Cabernet Sauvignon from vineyards such as Hyde in Carneros. The wine is brimming in dark plum and severe chocolate and cherry, with a reasonable amount of grip.",54.0,87,4,0.9549929776244062
9345,Krupp Brothers 2012 Stagecoach Vineyard M5 Cabernet Sauvignon (Napa Valley),"This combines a majority of Cabernet with 4% Malbec for a huge, powerfully made wine, aged almost two years in French oak. It is named for the block from which it is sourced atop the mighty Stagecoach. It's reflective in leathery tobacco and cedar and fully concentrated with flushes of dark chocolate and caramel. Drink now through 2022.",165.0,91,4,0.9549916949459931
50725,Virage 2011 Red (Napa Valley),"Made in what the producer calls a Right-Bank Tradition, this red wine combines 69% Cabernet Franc with 27% Merlot and 4% Cabernet Sauvignon to classy, restrained effect. Perfumed in cedar and pencil shavings, it has fine, integrated tannins and an elegance to the lengthy, cassis-kissed finish.",54.0,91,4,0.9549914308340536
