,title,description,price,points,cluster_label,cosine_similarity
5428,Iron Horse 1995 Russian Cuvée  (Sonoma County),"Light straw in color, with fine bubbles and pure, fine aromas of peach and strawberry. In the mouth, it’s exceptionally rich and creamy. It’s not quite as sweet as an extra dry Champagne, but it’s definitely heading in that direction.",26.0,89,8,0.9863181651457524
5441,Handley 1995 Brut  (Anderson Valley),"From a bubbly specialist comes this fancy wine, a blend of 75% Pinot Noir and 25% Chardonnay. Has very forward fruity aromas that are a combo of both varietals. It’s a bit rough, as though the bubbles aren’t fine enough, but that’s comparing it to the best French vintage Champagne, which costs a whole lot more.",25.0,88,8,0.9863181651457524
9168,Handley 1995 Blanc de Blancs  (Anderson Valley),"From one of California’s coolest growing regions, the grapes nonetheless achieved the ripeness of white peaches, lending those notes to the aromas and flavors. It’s very clean and refreshing. There’s a nice toastiness that carries through to the finish, which is slightly sweet and bitter. To be released Spring 2001.",30.0,86,8,0.9863181651457524
39198,Thornton 1995 Brut Reserve Natural  (California),"Richer and more austere than the regular brut, and bone dry, it has a steely elegance. The aromas are delicate but suggest citrus fruits and a touch of strawberry. It’s very well balanced, with crisp acidity. There’s just the slightest hint of fruit on the finish, and then it turns dry and austere again.",35.0,87,8,0.9863181651457524
47897,Sakonnet 1995 Samson Brut  (Southeastern New England),A full-flavored but light-bodied sparkler that has some toasty elements over lemon-tangerine fruit. The long finish brings some attractive pink grapefruit notes. A very welcome surprise from this Rhode Island winery.,25.0,90,8,0.9863181651457524
47901,Thornton 1995 Brut Reserve  (California),"This is probably the most crowd-pleasing of Thornton’s current lineup. It has all the elegance and class of the Brut Reserve Natural but a touch of sugar adds roundness and richness to the fruit. It’s more savory, more piquant, fatter, without being blowsy or obvious. This is very fine brut, able to hold its own with the best.",21.0,90,8,0.9863181651457524
60256,Pacific Echo 1995 Blanc de Blancs  (Anderson Valley),"Right on target, the toasty, smoky nose here opens to full green-apple and mineral flavors on the palate. Hints of apricot and lime add interest and complexity, and the wine finishes smooth and long. Shows nice precision of flavor and texture.",27.0,89,8,0.9863181651457524
77057,Iron Horse 1995 Brut Rosé  (Sonoma County),"Here is a very pretty pale-salmon-colored sparkling wine, with fine, zesty bubbles and an appealing whiff of Pinot Noir in the nose. The flavors are pure strawberry, a tiny bit sweet but not too much. This is the sort of sparkling wine even people who say they don’t like wine will fall in love with.",30.0,90,8,0.9863181651457524
77062,Iron Horse 1995 Vrais Amis  (Sonoma County),"An enormously fruity sparking wine, this one offers complex aromas of raspberries and baked bread, with a hint of lime. It really comes alive in the mouth, thanks to refreshing acidity and fine bubbles that scour the palate. This clean wine has just enough of a dose of sweetness to prod the fruit forward. Only 125 cases produced.",26.0,90,8,0.9863181651457524
77071,Iron Horse 1995 Classic Vintage Brut  (Sonoma County),"A very pale straw color precedes great aromas of peach and apple, with notes of oak, baking bread and white chocolate. It’s delicately fruity in the mouth, with crisp acidity and the pleasant scour of bubbles. This is a clean, elegant wine of great finesse.",26.0,89,8,0.9863181651457524
