,title,description,price,points,cluster_label,cosine_similarity
42619,Pasini San Giovanni 2015 Il Lugana  (Lugana),"Delicate aromas of white stone fruit, ripe pear and white flower lead the nose while the bright palate offers crisp green apple, juicy white peach and a hint of bitter almond. Fresh acidity lifts the finish.",20.0,89,2,0.5548161265398239
59298,Indaba 2014 Chenin Blanc (Western Cape),"This is a fresh and bright white wine, with scents of lemon-lime, green plum and green apple that jump from the glass. The palate is easy and refreshing, as lively acidity lifts the fruity flavors of firm pear and citrus. Drink now.",12.0,87,2,0.5516779166098107
66578,Masut da Rive 2013 Chardonnay (Isonzo del Friuli),This crisp white opens with a delicate floral fragrance of white spring flower and touch of stone fruit. The refreshing palate offers crunchy yellow apple and tangy lemon zest balanced by bright acidity. It finishes clean and fresh.,22.0,87,2,0.526303211788774
1852,Cantina del Castello 2013 Castello  (Soave Classico),"Floral aromas of white spring flowers partner hints of pear and stone fruit. The juicy palate offers white peach, apple and green melon alongside a mineral note and fresh acidity.",15.0,87,2,0.5202299311982346
88745,Abbazia di Novacella 2012 Praepositus Veltliner (Alto Adige Valle Isarco),"Deep, golden yellow, this elegant but structured white offers aromas of fragrant white flower, alpine herb, mature pear and exotic fruit. The vibrant, spicy palate doles out crisp green apple, white peach, nectarine, lemon zest, white pepper and a ginger note. It's balanced and fresh, with bright acidity and a long, mineral finish.",40.0,92,2,0.5158379388295546
3528,La Vis 2014 Ritratti Pinot Grigio (Trentino),"Fresh and fruity, this lively white offers aromas and flavors of green Anjou pear, Granny Smith apple and white peach. Zesty acidity gives it a crisp, tangy finish.",19.0,87,2,0.5127603957450905
53551,La Vis 2014 Ritratti Pinot Grigio (Trentino),"Fresh and fruity, this lively white offers aromas and flavors of green Anjou pear, Granny Smith apple and white peach. Zesty acidity gives it a crisp, tangy finish.",19.0,87,2,0.5127603957450905
8750,Balestri Valda 2015  Soave Classico,"Aromas of ripe green apple, pear, Spanish broom and tangerine lead to a creamy palate of yellow stone fruit and a hint of white almond. Fresh acidity and a mineral note brighten the finish.",16.0,89,2,0.5105484151795174
96224,Merotto 2014 Colbello Extra Dry  (Valdobbiadene Prosecco Superiore),"Delicate aromas of spring flowers and white stone fruit lead the nose. The palate offers crisp green apple, yellow pear and creamy white peach alongside refreshing acidity and a foaming mousse.",26.0,88,2,0.5074958169334158
47618,Cusumano 2013 Insolia (Terre Siciliane),"This bright wine opens with aromas of white flowers and citrus. The palate offers juicy lemon-lime and white almond alongside crisp acidity that gives it a clean, fresh finish.",12.0,86,2,0.5018759430209451
66587,Tenuta Luisa 2013 Pinot Grigio (Friuli Isonzo),"Made in a crisp, zesty style, this vibrant white delivers tart green apple, Bartlett pear and lemon zest. Bright acidity gives it a clean finish.",23.0,87,2,0.4991787609694296
