,title,description,price,points,lda_label,7
108638,Tenuta Roveglia 2013 Vigne di Catullo Riserva  (Lugana),"Delicately scented, this radiant wine opens with ultrarefined scents of white field flower, citrus blossom, aromatic herb and a whiff of orchard fruit. The creamy, elegantly structured palate boasts layers of juicy white peach, crisp green apple, tangerine and a hint of white almond. Fresh acidity brightens the creamy flavors while an energizing mineral note closes the lingering finish.",24.0,94,7,0.9735260941477755
83982,Castello della Sala 2014 Bramito Chardonnay (Umbria),"Made entirely with Chardonnay, this opens with enticing scents of ripe orchard fruit, yellow flower and a whiff of dried herb. The elegantly structured palate delivers Golden Delicious apple, tropical fruit and citrus zest while a hint of ginger adds depth. Fresh acidity gives it balance and lifts the lingering finish.",23.0,91,7,0.9718695650172297
95601,Selva Capuzza 2016 San Vigilio  (Lugana),"Heady aromas of white spring flower, white stone fruit and crushed herb take center stage on this fragrant white. On the succulent palate, notes of white almond and thyme underscore white peach, lemon drop and yellow apple alongside fresh acidity. A savory mineral note suggesting saline graces the lingering finish.",23.0,90,7,0.9709646309411005
68373,Capichera 2013 VT Vermentino (Isola dei Nuraghi),"Made with late ripened Vermentino, this gorgeous wine opens with an alluring fragrance of citrus blossom, white wild flower, ripe orchard fruit and a hint of wild herb. The rich palate boasts depth and complexity, delivering layers of succulent nectarine, honey, yellow peach, flint and ginger. A white almond note closes the long, lingering finish.",69.0,94,7,0.9709620289611458
73860,Nino Franco 2015 Vigneto della Riva di San Floriano Brut  (Valdobbiadene Prosecco Superiore),"Enticing scents of ripe orchard fruit, aromatic herb and fragrant white spring flower take center stage on this elegant sparkler. The generous palate doles out juicy white peach, ripe Granny Smith apple and tangerine zest. Fresh acidity brightens the creamy flavors while an elegant mousse imparts finesse.",29.0,92,7,0.9699944370739095
5140,Abbazia di Novacella 2015 Pinot Grigio (Alto Adige Valle Isarco),"Structured and elegant, this lovely Pinot Grigio opens with delicate scents of white Alpine flower, citrus and a whiff of herb. The bright palate offers creamy white peach, crisp green apple and juicy nectarine while a mineral note backs up the finish. Bright acidity provides lift and balance.",19.0,90,7,0.9689606831554793
89409,Il Colombaio di Santa Chiara 2015 Selvabianca  (Vernaccia di San Gimignano),"Made with organically cultivated grapes, this savory white offers alluring aromas of yellow stone fruit, pear and white spring flower. Juicy and delicious, the creamy palate doles out succulent yellow peach, golden apple, nectarine and a savory saline note. Tangy acidity lifts the creamy flavors while a hint of white almond graces the finish.",18.0,91,7,0.9678535803106247
105778,Abbazia di Novacella 2015 Praepositus Sylvaner (Alto Adige),"Enticing scents of white spring flower, orchard fruit, Alpine herb and an intriguing whiff of smoke lead the way on this stunning wine. The elegantly structured radiant palate delivers juicy nectarine, creamy pear and sage framed in tangy acidity. A racy mineral vein further lifts the lingering finish. Drink through 2020.",25.0,93,7,0.9678527759026214
89772,Muzic 2015 Chardonnay (Collio),"This gorgeous white opens with scents suggesting white flower, orchard fruit, lemon pastry and a whiff of wet stone. The creamy palate delivers yellow apple, lemon zest, bitter almond and a savory mineral note. It's supremely elegant and surprisingly fresh for the vintage.",19.0,92,7,0.9678508962222401
91057,Cantina Produttori San Michele Appiano 2012 Appius White (Alto Adige),"Made with 65% Chardonnay, 15% Sauvignon, 10% Pinot Grigio and 10% Pinot Bianco, this elegant white offers aromas of white flower, tropical fruit, mint and whiffs of toasted oak. The structured palate delivers Golden Delicious apple, vanilla, oak and lemon zest. A mineral note closes the lingering finish.",108.0,90,7,0.9678503337198102
